Target Name	Target Accession	Target Length	Query Name	Query Accession	Query Length	E-value	Score	Bias	Domain Index	Domain Count	Cond. E-value	Domain Ind. E-value	Domain Bit-score	Domain Bias	Query Ali. Start	Query Ali. End	Target Ali. Start	Target Ali. End	Target Env. Start	Target Env. End	Acc	Description	Mapped PDB(s)	Number of Identical Sequences
DAPE_BRUSU	DAPE_BRUSU	395	Peptidase_M20	-	207	2.2e-46	163.1	0.1	1	1	5.2e-49	2.7e-46	162.779571533203	0.13	1	206	70	391	70	392	0.94	Succinyl-diaminopimelate desuccinylase		0
DAPE_OCHA4	DAPE_OCHA4	395	Peptidase_M20	-	207	3.7e-46	162.3	0.1	1	1	9.6e-49	5.0e-46	161.914962768555	0.12	1	206	70	391	70	392	0.95	Succinyl-diaminopimelate desuccinylase		0
DAPE_NITEU	DAPE_NITEU	376	Peptidase_M20	-	207	7.9e-46	161.3	0.1	1	1	1.8e-48	9.4e-46	161.020431518555	0.06	1	207	63	373	63	373	0.97	Succinyl-diaminopimelate desuccinylase		0
DAPE_PSYA2	DAPE_PSYA2	407	Peptidase_M20	-	207	9.8e-46	161.0	0.1	1	1	2.5e-48	1.3e-45	160.539535522461	0.06	1	207	89	403	89	403	0.95	Succinyl-diaminopimelate desuccinylase		0
DAPE_ACISJ	DAPE_ACISJ	391	Peptidase_M20	-	207	1.0e-45	160.9	0.0	1	1	2.3e-48	1.2e-45	160.647430419922	0.02	2	206	75	383	74	384	0.97	Succinyl-diaminopimelate desuccinylase		0
DAPE_PHOLL	DAPE_PHOLL	375	Peptidase_M20	-	207	1.1e-45	160.8	0.1	1	1	2.8e-48	1.4e-45	160.422698974609	0.06	1	206	62	371	62	372	0.96	Succinyl-diaminopimelate desuccinylase		0
DAPE_ACIET	DAPE_ACIET	391	Peptidase_M20	-	207	1.4e-45	160.5	0.0	1	1	3.2e-48	1.6e-45	160.226318359375	0.02	2	206	75	383	74	384	0.97	Succinyl-diaminopimelate desuccinylase		0
DAPE_BORBR	DAPE_BORBR	379	Peptidase_M20	-	207	1.7e-45	160.2	0.0	1	1	4.1e-48	2.1e-45	159.846664428711	0.02	2	207	65	374	64	374	0.97	Succinyl-diaminopimelate desuccinylase		0
DAPE_BORPA	DAPE_BORPA	379	Peptidase_M20	-	207	1.7e-45	160.2	0.0	1	1	4.1e-48	2.1e-45	159.846908569336	0.02	2	207	65	374	64	374	0.97	Succinyl-diaminopimelate desuccinylase		0
DAPE_BORPE	DAPE_BORPE	379	Peptidase_M20	-	207	3.8e-45	159.0	0.0	1	1	9.2e-48	4.8e-45	158.707046508789	0.02	2	207	65	374	64	374	0.97	Succinyl-diaminopimelate desuccinylase		0
DAPE_PSYCK	DAPE_PSYCK	407	Peptidase_M20	-	207	3.9e-45	159.0	0.1	1	1	1.0e-47	5.3e-45	158.560241699219	0.11	1	207	89	403	89	403	0.95	Succinyl-diaminopimelate desuccinylase		0
DAPE_AGRFC	DAPE_AGRFC	398	Peptidase_M20	-	207	4.2e-45	158.9	0.2	1	1	1.0e-47	5.2e-45	158.57682800293	0.17	1	206	69	389	69	390	0.94	Succinyl-diaminopimelate desuccinylase		0
DAPE_BORPD	DAPE_BORPD	380	Peptidase_M20	-	207	4.3e-45	158.9	0.0	1	1	1.0e-47	5.3e-45	158.571228027344	0.04	2	207	66	375	65	375	0.97	Succinyl-diaminopimelate desuccinylase		0
DAPE_MARHV	DAPE_MARHV	376	Peptidase_M20	-	207	4.8e-45	158.7	0.2	1	1	1.1e-47	5.8e-45	158.436798095703	0.16	1	206	64	372	64	373	0.96	Succinyl-diaminopimelate desuccinylase		0
DAPE_VIBCB	DAPE_VIBCB	378	Peptidase_M20	-	207	5.5e-45	158.5	0.2	1	1	1.4e-47	7.4e-45	158.086090087891	0.22	1	206	64	373	64	374	0.95	Succinyl-diaminopimelate desuccinylase		0
DAPE_COXB1	DAPE_COXB1	374	Peptidase_M20	-	207	5.6e-45	158.5	0.0	1	1	1.3e-47	6.8e-45	158.214019775391	0.04	1	206	62	371	62	372	0.95	Succinyl-diaminopimelate desuccinylase		0
DAPE_COXB2	DAPE_COXB2	374	Peptidase_M20	-	207	5.6e-45	158.5	0.0	1	1	1.3e-47	6.8e-45	158.214019775391	0.04	1	206	62	371	62	372	0.95	Succinyl-diaminopimelate desuccinylase		0
DAPE_COXBN	DAPE_COXBN	374	Peptidase_M20	-	207	5.6e-45	158.5	0.0	1	1	1.3e-47	6.8e-45	158.214019775391	0.04	1	206	62	371	62	372	0.95	Succinyl-diaminopimelate desuccinylase		0
DAPE_COXBU	DAPE_COXBU	374	Peptidase_M20	-	207	5.6e-45	158.5	0.0	1	1	1.3e-47	6.8e-45	158.214019775391	0.04	1	206	62	371	62	372	0.95	Succinyl-diaminopimelate desuccinylase		0
DAPE_COXBR	DAPE_COXBR	374	Peptidase_M20	-	207	5.6e-45	158.5	0.0	1	1	1.3e-47	6.8e-45	158.214019775391	0.04	1	206	62	371	62	372	0.95	Succinyl-diaminopimelate desuccinylase		0
DAPE_VIBPA	DAPE_VIBPA	378	Peptidase_M20	-	207	5.7e-45	158.5	0.3	1	1	1.5e-47	7.7e-45	158.037994384766	0.28	1	206	64	373	64	374	0.96	Succinyl-diaminopimelate desuccinylase		0
DAPE_PSYIN	DAPE_PSYIN	377	Peptidase_M20	-	207	1.1e-44	157.5	0.1	1	1	2.6e-47	1.3e-44	157.253128051758	0.06	1	206	64	373	64	374	0.96	Succinyl-diaminopimelate desuccinylase		0
DAPE_NITEC	DAPE_NITEC	378	Peptidase_M20	-	207	1.3e-44	157.2	0.0	1	1	3.0e-47	1.6e-44	157.012954711914	0.05	2	206	64	372	63	373	0.96	Succinyl-diaminopimelate desuccinylase		0
DAPE_VIBVU	DAPE_VIBVU	377	Peptidase_M20	-	207	1.9e-44	156.8	0.2	1	1	4.6e-47	2.4e-44	156.434478759766	0.20	1	207	64	374	64	374	0.96	Succinyl-diaminopimelate desuccinylase		0
DAPE_VIBVY	DAPE_VIBVY	377	Peptidase_M20	-	207	1.9e-44	156.7	0.2	1	1	4.6e-47	2.4e-44	156.435852050781	0.20	1	207	64	374	64	374	0.96	Succinyl-diaminopimelate desuccinylase		0
DAPE_CUPPJ	DAPE_CUPPJ	383	Peptidase_M20	-	207	2.0e-44	156.7	0.1	1	1	5.0e-47	2.6e-44	156.304473876953	0.15	1	206	70	379	70	380	0.96	Succinyl-diaminopimelate desuccinylase		0
DAPE_CHRVO	DAPE_CHRVO	377	Peptidase_M20	-	207	3.5e-44	155.9	0.0	1	1	8.1e-47	4.2e-44	155.622665405273	0.04	1	206	62	371	62	372	0.97	Succinyl-diaminopimelate desuccinylase		0
DAPE_NITMU	DAPE_NITMU	378	Peptidase_M20	-	207	3.6e-44	155.8	0.0	1	1	8.3e-47	4.3e-44	155.585083007812	0.03	1	205	63	371	63	373	0.96	Succinyl-diaminopimelate desuccinylase		0
DAPE_ALCBS	DAPE_ALCBS	377	Peptidase_M20	-	207	4.5e-44	155.5	0.2	1	1	1.0e-46	5.3e-44	155.299667358398	0.23	1	206	62	371	62	372	0.96	Succinyl-diaminopimelate desuccinylase		0
DAPE_CUPNH	DAPE_CUPNH	383	Peptidase_M20	-	207	4.5e-44	155.5	0.2	1	1	1.1e-46	5.8e-44	155.158752441406	0.22	2	206	71	379	70	380	0.97	Succinyl-diaminopimelate desuccinylase		0
DAPE_RHIME	DAPE_RHIME	397	Peptidase_M20	-	207	5.2e-44	155.3	0.1	1	1	1.8e-46	9.5e-44	154.466369628906	0.09	1	206	69	389	69	390	0.93	Succinyl-diaminopimelate desuccinylase		0
DAPE_SINMW	DAPE_SINMW	397	Peptidase_M20	-	207	5.4e-44	155.3	0.2	1	1	1.4e-46	7.4e-44	154.828430175781	0.19	1	206	69	389	69	390	0.93	Succinyl-diaminopimelate desuccinylase		0
DAPE_MAGSA	DAPE_MAGSA	379	Peptidase_M20	-	207	6.0e-44	155.1	0.0	1	1	3.9e-46	2.0e-43	153.395416259766	0.03	1	206	68	373	68	374	0.95	Succinyl-diaminopimelate desuccinylase		0
DAPE_HAEIN	DAPE_HAEIN	377	Peptidase_M20	-	207	6.4e-44	155.0	0.1	1	1	1.5e-46	7.9e-44	154.723373413086	0.10	1	206	63	372	63	373	0.95	Succinyl-diaminopimelate desuccinylase	5vo3_A	0
DAPE_NEIG2	DAPE_NEIG2	381	Peptidase_M20	-	207	7.1e-44	154.9	0.0	1	1	1.8e-46	9.4e-44	154.476028442383	0.04	1	206	64	373	64	374	0.97	Succinyl-diaminopimelate desuccinylase		0
DAPE_NEIG1	DAPE_NEIG1	381	Peptidase_M20	-	207	7.2e-44	154.9	0.0	1	1	1.8e-46	9.4e-44	154.482620239258	0.03	1	206	64	373	64	374	0.97	Succinyl-diaminopimelate desuccinylase		0
DAPE_CELJU	DAPE_CELJU	382	Peptidase_M20	-	207	7.6e-44	154.8	0.1	1	1	1.8e-46	9.1e-44	154.530212402344	0.12	1	206	69	378	69	379	0.95	Succinyl-diaminopimelate desuccinylase		0
DAPE_PARXL	DAPE_PARXL	379	Peptidase_M20	-	207	1.0e-43	154.4	0.2	1	1	2.6e-46	1.4e-43	153.95524597168	0.25	1	206	66	375	66	376	0.97	Succinyl-diaminopimelate desuccinylase		0
DAPE1_SHELP	DAPE1_SHELP	376	Peptidase_M20	-	207	1.1e-43	154.3	0.1	1	1	2.4e-46	1.3e-43	154.062911987305	0.05	1	206	63	372	63	373	0.95	Succinyl-diaminopimelate desuccinylase 1		0
DAPE_TOLAT	DAPE_TOLAT	380	Peptidase_M20	-	207	1.1e-43	154.3	0.0	1	1	2.6e-46	1.3e-43	153.968399047852	0.03	1	206	64	373	64	374	0.95	Succinyl-diaminopimelate desuccinylase		0
DAPE_HYDCU	DAPE_HYDCU	378	Peptidase_M20	-	207	1.1e-43	154.3	0.0	1	1	2.6e-46	1.3e-43	153.992050170898	0.01	2	205	63	372	62	374	0.95	Succinyl-diaminopimelate desuccinylase		0
DAPE_VIBCH	DAPE_VIBCH	377	Peptidase_M20	-	207	1.1e-43	154.2	0.2	1	1	3.0e-46	1.5e-43	153.777435302734	0.21	2	206	65	373	64	374	0.95	Succinyl-diaminopimelate desuccinylase	4onw_A	0
DAPE_VIBCM	DAPE_VIBCM	377	Peptidase_M20	-	207	1.1e-43	154.2	0.2	1	1	3.0e-46	1.5e-43	153.777435302734	0.21	2	206	65	373	64	374	0.95	Succinyl-diaminopimelate desuccinylase		0
DAPE_AGRVS	DAPE_AGRVS	404	Peptidase_M20	-	207	1.2e-43	154.2	0.0	1	1	3.1e-46	1.6e-43	153.742919921875	0.04	1	205	76	395	76	397	0.93	Succinyl-diaminopimelate desuccinylase		0
DAPE_NEIMA	DAPE_NEIMA	381	Peptidase_M20	-	207	1.2e-43	154.1	0.0	1	1	2.9e-46	1.5e-43	153.831436157227	0.03	1	206	64	373	64	374	0.97	Succinyl-diaminopimelate desuccinylase		0
DAPE_DECAR	DAPE_DECAR	377	Peptidase_M20	-	207	1.2e-43	154.1	0.0	1	1	2.8e-46	1.5e-43	153.861846923828	0.03	2	206	64	372	63	373	0.97	Succinyl-diaminopimelate desuccinylase		0
DAPE_MARMS	DAPE_MARMS	377	Peptidase_M20	-	207	1.2e-43	154.1	0.0	1	1	2.9e-46	1.5e-43	153.810363769531	0.04	1	207	62	372	62	372	0.96	Succinyl-diaminopimelate desuccinylase		0
DAPE_CUPMC	DAPE_CUPMC	383	Peptidase_M20	-	207	1.3e-43	154.1	0.2	1	1	3.1e-46	1.6e-43	153.736083984375	0.19	1	206	70	379	70	380	0.97	Succinyl-diaminopimelate desuccinylase		0
DAPE_HAEI8	DAPE_HAEI8	377	Peptidase_M20	-	207	1.3e-43	154.0	0.1	1	1	3.1e-46	1.6e-43	153.710174560547	0.07	1	206	63	372	63	373	0.95	Succinyl-diaminopimelate desuccinylase		0
DAPE_PARPJ	DAPE_PARPJ	379	Peptidase_M20	-	207	1.4e-43	153.9	0.2	1	1	3.6e-46	1.9e-43	153.495651245117	0.19	1	206	66	375	66	376	0.97	Succinyl-diaminopimelate desuccinylase		0
DAPE_RHILW	DAPE_RHILW	397	Peptidase_M20	-	207	1.4e-43	153.9	0.0	1	1	3.6e-46	1.9e-43	153.492706298828	0.04	1	206	69	389	69	390	0.94	Succinyl-diaminopimelate desuccinylase		0
DAPE_PSET1	DAPE_PSET1	376	Peptidase_M20	-	207	1.7e-43	153.6	0.0	1	1	4.1e-46	2.1e-43	153.336883544922	0.02	1	207	63	373	63	373	0.95	Succinyl-diaminopimelate desuccinylase		0
DAPE_TERTT	DAPE_TERTT	375	Peptidase_M20	-	207	1.7e-43	153.6	0.2	1	1	4.0e-46	2.1e-43	153.372116088867	0.17	1	206	62	371	62	372	0.95	Succinyl-diaminopimelate desuccinylase		0
DAPE_SERP5	DAPE_SERP5	375	Peptidase_M20	-	207	1.8e-43	153.6	0.2	1	1	4.4e-46	2.3e-43	153.238372802734	0.17	1	206	62	371	62	372	0.95	Succinyl-diaminopimelate desuccinylase		0
DAPE_RHIL3	DAPE_RHIL3	397	Peptidase_M20	-	207	1.9e-43	153.5	0.1	1	1	4.9e-46	2.5e-43	153.070755004883	0.06	1	206	69	389	69	390	0.93	Succinyl-diaminopimelate desuccinylase		0
DAPE_ALKEH	DAPE_ALKEH	375	Peptidase_M20	-	207	2.0e-43	153.4	0.1	1	1	4.7e-46	2.4e-43	153.122131347656	0.07	1	206	62	371	62	372	0.95	Succinyl-diaminopimelate desuccinylase		0
DAPE_BORA1	DAPE_BORA1	377	Peptidase_M20	-	207	2.3e-43	153.2	0.0	1	1	6.1e-46	3.2e-43	152.7607421875	0.03	2	207	63	372	62	372	0.97	Succinyl-diaminopimelate desuccinylase		0
DAPE_CUPTR	DAPE_CUPTR	383	Peptidase_M20	-	207	2.4e-43	153.1	0.2	1	1	6.0e-46	3.1e-43	152.790451049805	0.15	2	206	71	379	70	380	0.96	Succinyl-diaminopimelate desuccinylase		0
DAPE_PSYWF	DAPE_PSYWF	402	Peptidase_M20	-	207	2.8e-43	152.9	0.3	1	1	6.9e-46	3.6e-43	152.578353881836	0.29	1	206	84	397	84	398	0.95	Succinyl-diaminopimelate desuccinylase		0
DAPE_ACIAC	DAPE_ACIAC	389	Peptidase_M20	-	207	3.1e-43	152.8	0.0	1	1	7.2e-46	3.7e-43	152.52702331543	0.03	2	206	72	380	71	381	0.97	Succinyl-diaminopimelate desuccinylase		0
DAPE_NEIM0	DAPE_NEIM0	381	Peptidase_M20	-	207	3.4e-43	152.7	0.0	1	1	8.2e-46	4.2e-43	152.344284057617	0.03	1	206	64	373	64	374	0.97	Succinyl-diaminopimelate desuccinylase		0
DAPE_PHOPR	DAPE_PHOPR	377	Peptidase_M20	-	207	3.6e-43	152.6	0.3	1	1	9.2e-46	4.8e-43	152.179138183594	0.28	2	206	65	373	64	374	0.95	Succinyl-diaminopimelate desuccinylase		0
DAPE_IDILO	DAPE_IDILO	376	Peptidase_M20	-	207	3.6e-43	152.6	0.0	1	1	8.4e-46	4.4e-43	152.303146362305	0.02	1	206	63	372	63	373	0.95	Succinyl-diaminopimelate desuccinylase		0
DAPE_HAHCH	DAPE_HAHCH	383	Peptidase_M20	-	207	4.6e-43	152.2	0.3	1	1	1.1e-45	5.6e-43	151.957412719727	0.26	2	206	67	375	66	376	0.95	Succinyl-diaminopimelate desuccinylase		0
DAPE_NEIMF	DAPE_NEIMF	381	Peptidase_M20	-	207	4.7e-43	152.2	0.0	1	1	1.2e-45	6.3e-43	151.785125732422	0.04	1	206	64	373	64	374	0.96	Succinyl-diaminopimelate desuccinylase		0
DAPE_ALIF1	DAPE_ALIF1	377	Peptidase_M20	-	207	4.8e-43	152.2	0.1	1	1	1.2e-45	6.0e-43	151.849639892578	0.06	2	206	65	373	64	374	0.95	Succinyl-diaminopimelate desuccinylase		0
DAPE_AZOSB	DAPE_AZOSB	380	Peptidase_M20	-	207	5.0e-43	152.1	0.1	1	1	1.2e-45	6.1e-43	151.838088989258	0.14	1	206	66	375	66	376	0.96	Succinyl-diaminopimelate desuccinylase		0
DAPE_COLP3	DAPE_COLP3	399	Peptidase_M20	-	207	5.0e-43	152.1	0.1	1	1	1.2e-45	6.4e-43	151.764892578125	0.08	1	206	76	389	76	390	0.95	Succinyl-diaminopimelate desuccinylase		0
DAPE_HAEPS	DAPE_HAEPS	377	Peptidase_M20	-	207	5.4e-43	152.0	0.0	1	1	1.2e-45	6.4e-43	151.756011962891	0.04	1	205	63	371	63	373	0.95	Succinyl-diaminopimelate desuccinylase		0
DAPE_SHEFN	DAPE_SHEFN	377	Peptidase_M20	-	207	5.8e-43	151.9	0.0	1	1	1.4e-45	7.3e-43	151.565368652344	0.05	1	206	63	372	63	373	0.95	Succinyl-diaminopimelate desuccinylase		0
DAPE_VIBC3	DAPE_VIBC3	377	Peptidase_M20	-	207	6.3e-43	151.8	0.2	1	1	1.6e-45	8.4e-43	151.365936279297	0.21	2	206	65	373	64	374	0.95	Succinyl-diaminopimelate desuccinylase		0
DAPE_AGRRK	DAPE_AGRRK	397	Peptidase_M20	-	207	6.4e-43	151.8	0.1	1	1	1.7e-45	8.7e-43	151.328231811523	0.10	1	206	69	389	69	390	0.95	Succinyl-diaminopimelate desuccinylase		0
DAPE_VIBA3	DAPE_VIBA3	378	Peptidase_M20	-	207	6.5e-43	151.7	0.1	1	1	1.6e-45	8.4e-43	151.38005065918	0.07	1	206	64	373	64	374	0.95	Succinyl-diaminopimelate desuccinylase		0
DAPE_PASMU	DAPE_PASMU	378	Peptidase_M20	-	207	7.1e-43	151.6	0.1	1	1	1.7e-45	8.6e-43	151.334915161133	0.08	1	205	63	371	63	373	0.95	Succinyl-diaminopimelate desuccinylase		0
DAPE_RHIEC	DAPE_RHIEC	397	Peptidase_M20	-	207	7.1e-43	151.6	0.0	1	1	1.9e-45	9.8e-43	151.156875610352	0.03	1	206	69	389	69	390	0.94	Succinyl-diaminopimelate desuccinylase		0
DAPE_LARHH	DAPE_LARHH	376	Peptidase_M20	-	207	8.1e-43	151.4	0.2	1	1	1.9e-45	9.6e-43	151.184005737305	0.23	1	206	62	371	62	372	0.97	Succinyl-diaminopimelate desuccinylase		0
DAPE_HERAR	DAPE_HERAR	375	Peptidase_M20	-	207	8.8e-43	151.3	0.1	1	1	2.0e-45	1.0e-42	151.062622070312	0.06	2	207	63	372	62	372	0.96	Succinyl-diaminopimelate desuccinylase		0
DAPE_PSEA6	DAPE_PSEA6	376	Peptidase_M20	-	207	9.1e-43	151.3	0.0	1	1	2.1e-45	1.1e-42	150.980285644531	0.04	1	206	63	372	63	373	0.95	Succinyl-diaminopimelate desuccinylase		0
DAPE_DELAS	DAPE_DELAS	386	Peptidase_M20	-	207	1.0e-42	151.1	0.0	1	1	2.7e-45	1.4e-42	150.639678955078	0.05	2	206	70	378	69	379	0.97	Succinyl-diaminopimelate desuccinylase		0
DAPE2_ALTMD	DAPE2_ALTMD	378	Peptidase_M20	-	207	1.1e-42	151.0	0.2	1	1	2.6e-45	1.4e-42	150.693206787109	0.15	1	206	64	373	64	374	0.94	Succinyl-diaminopimelate desuccinylase 2		0
DAPE_BURM1	DAPE_BURM1	379	Peptidase_M20	-	207	1.1e-42	151.0	0.1	1	1	2.8e-45	1.4e-42	150.599731445312	0.09	1	206	66	375	66	376	0.96	Succinyl-diaminopimelate desuccinylase		0
DAPE_XANP2	DAPE_XANP2	375	Peptidase_M20	-	207	1.1e-42	151.0	0.0	1	1	2.8e-45	1.5e-42	150.583358764648	0.03	1	206	62	368	62	369	0.96	Succinyl-diaminopimelate desuccinylase		0
DAPE_BURCM	DAPE_BURCM	379	Peptidase_M20	-	207	1.2e-42	150.8	0.1	1	1	3.3e-45	1.7e-42	150.382507324219	0.10	1	206	66	375	66	376	0.96	Succinyl-diaminopimelate desuccinylase		0
DAPE_NEIMB	DAPE_NEIMB	381	Peptidase_M20	-	207	1.3e-42	150.7	0.0	1	1	3.4e-45	1.8e-42	150.330551147461	0.03	1	206	64	373	64	374	0.97	Succinyl-diaminopimelate desuccinylase	5uej_A	0
DAPE_METFK	DAPE_METFK	375	Peptidase_M20	-	207	1.4e-42	150.7	0.1	1	1	3.1e-45	1.6e-42	150.454940795898	0.06	2	206	63	371	62	372	0.96	Succinyl-diaminopimelate desuccinylase		0
DAPE_THISH	DAPE_THISH	376	Peptidase_M20	-	207	1.4e-42	150.7	0.1	1	1	3.1e-45	1.6e-42	150.443923950195	0.13	1	206	62	371	62	372	0.96	Succinyl-diaminopimelate desuccinylase		0
DAPE_AROAE	DAPE_AROAE	384	Peptidase_M20	-	207	1.4e-42	150.6	0.1	1	1	3.2e-45	1.7e-42	150.413192749023	0.07	1	206	67	376	67	377	0.96	Succinyl-diaminopimelate desuccinylase		0
CBPS_YEAST	CBPS_YEAST	576	Peptidase_M20	-	207	1.5e-42	150.6	0.0	1	1	5.3e-45	2.8e-42	149.687774658203	0.00	1	206	164	570	164	571	0.93	Carboxypeptidase S		0
DAPE_ERWT9	DAPE_ERWT9	375	Peptidase_M20	-	207	1.6e-42	150.5	0.1	1	1	3.8e-45	2.0e-42	150.152725219727	0.06	1	206	62	371	62	372	0.96	Succinyl-diaminopimelate desuccinylase		0
DAPE_CITK8	DAPE_CITK8	375	Peptidase_M20	-	207	1.6e-42	150.4	0.1	1	1	3.9e-45	2.0e-42	150.125839233398	0.07	1	206	62	371	62	372	0.96	Succinyl-diaminopimelate desuccinylase		0
DAPE_HAEIE	DAPE_HAEIE	377	Peptidase_M20	-	207	1.6e-42	150.4	0.1	1	1	3.9e-45	2.0e-42	150.110733032227	0.06	2	206	64	372	63	373	0.95	Succinyl-diaminopimelate desuccinylase		0
DAPE_SACD2	DAPE_SACD2	382	Peptidase_M20	-	207	1.7e-42	150.4	0.1	1	1	4.0e-45	2.1e-42	150.096984863281	0.09	1	206	69	378	69	379	0.95	Succinyl-diaminopimelate desuccinylase		0
DAPE_RHOFT	DAPE_RHOFT	391	Peptidase_M20	-	207	1.7e-42	150.3	0.0	1	1	4.3e-45	2.2e-42	149.992599487305	0.02	2	207	75	384	74	384	0.97	Succinyl-diaminopimelate desuccinylase		0
DAPE_HAEIG	DAPE_HAEIG	377	Peptidase_M20	-	207	1.8e-42	150.3	0.1	1	1	4.3e-45	2.2e-42	149.977600097656	0.07	1	206	63	372	63	373	0.95	Succinyl-diaminopimelate desuccinylase		0
DAPE_RHOCS	DAPE_RHOCS	386	Peptidase_M20	-	207	1.9e-42	150.2	0.1	1	1	5.0e-45	2.6e-42	149.773193359375	0.12	1	206	68	376	68	377	0.95	Succinyl-diaminopimelate desuccinylase		0
DAPE_BURTA	DAPE_BURTA	379	Peptidase_M20	-	207	2.0e-42	150.2	0.1	1	1	5.7e-45	2.9e-42	149.599975585938	0.06	1	206	66	375	66	376	0.96	Succinyl-diaminopimelate desuccinylase		0
DAPE_YERPS	DAPE_YERPS	375	Peptidase_M20	-	207	2.1e-42	150.1	0.2	1	1	4.8e-45	2.5e-42	149.836471557617	0.15	1	206	62	371	62	372	0.95	Succinyl-diaminopimelate desuccinylase		0
DAPE_YERPB	DAPE_YERPB	375	Peptidase_M20	-	207	2.1e-42	150.1	0.2	1	1	4.8e-45	2.5e-42	149.836471557617	0.15	1	206	62	371	62	372	0.95	Succinyl-diaminopimelate desuccinylase		0
DAPE_YERPY	DAPE_YERPY	375	Peptidase_M20	-	207	2.1e-42	150.1	0.2	1	1	4.8e-45	2.5e-42	149.836471557617	0.15	1	206	62	371	62	372	0.95	Succinyl-diaminopimelate desuccinylase		0
DAPE_YERPN	DAPE_YERPN	375	Peptidase_M20	-	207	2.1e-42	150.1	0.2	1	1	4.8e-45	2.5e-42	149.836471557617	0.15	1	206	62	371	62	372	0.95	Succinyl-diaminopimelate desuccinylase		0
DAPE_YERPE	DAPE_YERPE	375	Peptidase_M20	-	207	2.1e-42	150.1	0.2	1	1	4.8e-45	2.5e-42	149.836471557617	0.15	1	206	62	371	62	372	0.95	Succinyl-diaminopimelate desuccinylase		0
DAPE_YERPG	DAPE_YERPG	375	Peptidase_M20	-	207	2.1e-42	150.1	0.2	1	1	4.8e-45	2.5e-42	149.836471557617	0.15	1	206	62	371	62	372	0.95	Succinyl-diaminopimelate desuccinylase		0
DAPE_YERPP	DAPE_YERPP	375	Peptidase_M20	-	207	2.1e-42	150.1	0.2	1	1	4.8e-45	2.5e-42	149.836471557617	0.15	1	206	62	371	62	372	0.95	Succinyl-diaminopimelate desuccinylase		0
DAPE_YERPA	DAPE_YERPA	375	Peptidase_M20	-	207	2.1e-42	150.1	0.2	1	1	4.8e-45	2.5e-42	149.836471557617	0.15	1	206	62	371	62	372	0.95	Succinyl-diaminopimelate desuccinylase		0
DAPE_HAES1	DAPE_HAES1	377	Peptidase_M20	-	207	2.1e-42	150.1	0.1	1	1	5.1e-45	2.6e-42	149.749526977539	0.08	1	206	62	371	62	372	0.96	Succinyl-diaminopimelate desuccinylase		0
